deliveryDate,hourEnding,MWOffered,ECRSMOfferPrice
2025-01-02,1,88.9,0.0
2025-01-02,1,155.1,0.01
2025-01-02,1,285.1,1.0
2025-01-02,2,89.1,0.0
2025-01-02,2,155.3,0.01
2025-01-02,2,285.3,1.0
2025-01-02,3,89.1,0.0
2025-01-02,3,155.3,0.01
2025-01-02,3,285.3,1.0
2025-01-02,4,89.1,0.0
2025-01-02,4,155.3,0.01
2025-01-02,4,285.3,1.0
2025-01-02,5,89.1,0.0
2025-01-02,5,155.3,0.01
2025-01-02,5,285.3,1.0
2025-01-02,6,89.1,0.0
2025-01-02,6,155.3,0.01
2025-01-02,6,285.3,1.0
2025-01-02,7,112.8,0.0
2025-01-02,7,179.0,0.01
2025-01-02,7,309.0,1.0
2025-01-02,8,115.8,0.0
2025-01-02,8,182.0,0.01
2025-01-02,8,312.0,1.0
2025-01-02,9,116.0,0.0
2025-01-02,9,182.2,0.01
2025-01-02,9,312.2,1.0
2025-01-02,10,116.0,0.0
2025-01-02,10,182.2,0.01
2025-01-02,10,312.2,1.0
2025-01-02,11,116.0,0.0
2025-01-02,11,182.2,0.01
2025-01-02,11,312.2,1.0
2025-01-02,12,114.3,0.0
2025-01-02,12,180.5,0.01
2025-01-02,12,307.5,1.0
2025-01-02,13,114.3,0.0
2025-01-02,13,180.5,0.01
2025-01-02,13,307.5,1.0
2025-01-02,14,114.3,0.0
2025-01-02,14,180.5,0.01
2025-01-02,14,307.5,1.0
2025-01-02,15,116.0,0.0
2025-01-02,15,182.2,0.01
2025-01-02,15,309.2,1.0
2025-01-02,16,116.0,0.0
2025-01-02,16,182.2,0.01
2025-01-02,16,309.2,1.0
2025-01-02,17,116.0,0.0
2025-01-02,17,182.2,0.01
2025-01-02,17,224.2,4.19
2025-01-02,17,274.2,4.5
2025-01-02,17,309.2,5.97
2025-01-02,18,116.0,0.0
2025-01-02,18,182.2,0.01
2025-01-02,18,224.2,12.65
2025-01-02,18,274.2,13.6
2025-01-02,18,309.2,18.02
2025-01-02,19,94.0,0.0
2025-01-02,19,160.2,0.01
2025-01-02,19,205.2,15.74
2025-01-02,19,255.2,16.92
2025-01-02,19,290.2,22.42
2025-01-02,20,94.0,0.0
2025-01-02,20,160.2,0.01
2025-01-02,20,205.2,10.61
2025-01-02,20,255.2,11.41
2025-01-02,20,290.2,15.11
2025-01-02,21,93.8,0.0
2025-01-02,21,160.0,0.01
2025-01-02,21,290.0,1.0
2025-01-02,22,93.8,0.0
2025-01-02,22,160.0,0.01
2025-01-02,22,290.0,1.0
2025-01-02,23,89.1,0.0
2025-01-02,23,155.3,0.01
2025-01-02,23,285.3,1.0
2025-01-02,24,89.1,0.0
2025-01-02,24,155.3,0.01
2025-01-02,24,285.3,1.0
2025-01-01,1,89.1,0.0
2025-01-01,1,155.4,0.01
2025-01-01,1,285.4,1.0
2025-01-01,1,287.1,1.49
2025-01-01,2,89.0,0.0
2025-01-01,2,155.3,0.01
2025-01-01,2,285.3,1.0
2025-01-01,2,287.0,1.49
2025-01-01,3,89.0,0.0
2025-01-01,3,155.3,0.01
2025-01-01,3,285.3,1.0
2025-01-01,3,287.0,1.49
2025-01-01,4,89.0,0.0
2025-01-01,4,155.3,0.01
2025-01-01,4,285.3,1.0
2025-01-01,4,287.0,1.49
2025-01-01,5,89.0,0.0
2025-01-01,5,155.3,0.01
2025-01-01,5,285.3,1.0
2025-01-01,5,287.0,1.49
2025-01-01,6,91.4,0.0
2025-01-01,6,157.7,0.01
2025-01-01,6,287.7,1.0
2025-01-01,6,289.4,1.49
2025-01-01,7,113.4,0.0
2025-01-01,7,179.7,0.01
2025-01-01,7,309.7,1.0
2025-01-01,7,311.4,1.49
2025-01-01,8,113.4,0.0
2025-01-01,8,179.7,0.01
2025-01-01,8,309.7,1.0
2025-01-01,8,311.4,1.49
2025-01-01,9,113.6,0.0
2025-01-01,9,179.9,0.01
2025-01-01,9,309.9,1.0
2025-01-01,9,311.6,1.49
2025-01-01,10,111.2,0.0
2025-01-01,10,177.5,0.01
2025-01-01,10,307.5,1.0
2025-01-01,10,309.2,1.49
2025-01-01,11,111.2,0.0
2025-01-01,11,177.5,0.01
